170.75	3.75	5.25	11.25	18.25	6.5	12	15.5	2.75	20  310.2275
-7	196	4	8	17.6667	-3.6667	-3	4	9	21.6667 -193.5166
2.8	4.2	129	5.4	10.8	12.6	-7.8	8	14.8	13  238.112
16.5714	14.8571	25.4286	180.4286	25.7143	2.1429	5.5714	10.5714	5.4286	6.4286  -165.0229
6.1667	-19	9.8333	12.1667	114	-34.1667	14.5	3.6667	-10.5	-14.1667    214.4215
-0.875	11.125	7.125	6.375	13.375	121.75	-6	1.875	-15.75	-8.75   108.6325
-7.5714	-1.4286	5.2857	9.8571	-18	7.1429	136.8571	-10.1429	-8.8571	-12.8571    28.8543
17.2	11	15.6	2.8	2.2	14.2	15.6	146.8	5.2	6.4 291.732
15.8333	4.8333	-5.8333	5.5	-9.6667	7.6667	5.6667	9.5	121.1667	-3  -256.5717
0.9167	-2	-2.5833	2.9167	3.9167	10.6667	2.1667	9.5833	-3.5833	92.0833 197.1857
